2.000000
8

0.409013	0.590987	

-0.378803	0.593612	
0.185124	-0.161422	
0.260264	-0.271368	
0.146656	-0.162827	
0.021320	-0.012980	
-0.012401	0.001956	
-0.021050	-0.003202	
-0.013595	0.005974	


0.092620	-0.039828	-0.058480	-0.033014	-0.009007	0.003889	0.006741	0.004061	
-0.039828	0.033175	0.026419	0.009488	0.002166	-0.002270	-0.002597	-0.002025	
-0.058480	0.026419	0.056036	0.024610	-0.002131	-0.001290	-0.001796	-0.000225	
-0.033014	0.009488	0.024610	0.017427	0.000746	-0.000196	-0.001083	-0.000609	
-0.009007	0.002166	-0.002131	0.000746	0.009905	-0.001592	-0.006824	-0.003590	
0.003889	-0.002270	-0.001290	-0.000196	-0.001592	0.002091	0.002522	0.001359	
0.006741	-0.002597	-0.001796	-0.001083	-0.006824	0.002522	0.012688	0.004014	
0.004061	-0.002025	-0.000225	-0.000609	-0.003590	0.001359	0.004014	0.002675	

0.062547	-0.021783	-0.036450	-0.020917	-0.000812	0.000341	-0.000083	0.000394	
-0.021783	0.023343	0.028190	0.013126	0.000131	-0.001198	-0.001065	0.000546	
-0.036450	0.028190	0.070701	0.022947	0.000574	-0.001898	-0.002359	0.000615	
-0.020917	0.013126	0.022947	0.022635	-0.004192	0.001491	0.001098	0.000254	
-0.000812	0.000131	0.000574	-0.004192	0.018658	-0.009088	-0.017778	-0.005984	
0.000341	-0.001198	-0.001898	0.001491	-0.009088	0.007647	0.009197	0.003730	
-0.000083	-0.001065	-0.002359	0.001098	-0.017778	0.009197	0.021077	0.008872	
0.000394	0.000546	0.000615	0.000254	-0.005984	0.003730	0.008872	0.006142	


